full_name,email,phone,national_id,client_id
juan david orozco,diegorlyspe@gmail.com,3260401378,1465579,85
diego orlando perez,diegorlyspe@gmail.com,3290121536,1313337,79
diego orlando perez,pepitopan@hotmail.com,3167468608,1099348,12
david martinez manso,pepitopan@hotmail.com,3349407898,1869205,67
diego orlando perez,juanchitodav@gmail.com,3888469972,1452476,51
juan manuel perez,diegorlyspe@gmail.com,3160675274,1292426,20
david martinez manso,diegorlyspe@gmail.com,3793085845,1478726,79
pepito perez mendez,pepitopan@hotmail.com,3105564170,1433504,100
david martinez manso,juanchitodav@gmail.com,3513540935,1747247,30
david martinez manso,juanchoma@gmail.com,3642588900,1026928,76
pepito perez mendez,pepitopan@hotmail.com,3627418896,1152195,76
juan manuel perez,diegorlyspe@gmail.com,3649762800,1024951,40
pepito perez mendez,juanchoma@gmail.com,3271128798,1485935,19
pepito perez mendez,diegorlyspe@gmail.com,3107927166,1992941,18
juan manuel perez,pepitopan@hotmail.com,3824081852,1549959,82
