id_empleados,nombre,cargo,departamento,salario,fecha
3630,jose perez,Contratista,DPtecnologia,1051654,2026/0209
1854,pepito perez,Servicios varios,DPtecnologia,1654654,2026/0127
4459,fido gutierrez,Servicios varios,DPtecnologia,1654654,2026/0114
758,pepito perez,Servicios varios,DPatencioncliente,231854345,2026/0109
4119,jose perez,Supervisor,DPadministrativo,231854345,2026/0214
3882,pepito perez,Supervisor,DPtecnologia,1051654,2026/0108
3153,pepito perez,Contratista,DPadministrativo,1051654,2026/0217
879,fido gutierrez,Gerente area,DPventas,1654654,2026/0111
626,pepito perez,Contratista,DPtecnologia,2552211,2026/0201
3337,fido gutierrez,Supervisor,DPaseo,231854345,2026/0128
