employee_id,full_name,job_role,department,salary,hire_date
4031,esteban dido,Supervisor,Admin,1654654,2026-01-13
4175,esteban dido,Area Manager,Cleaning,5200000,2026-01-31
2066,esteban dido,General Services,Sales,1654654,2026-02-09
3486,fido gutierrez,Contractor,Sales,2500000,2026-01-21
4321,esteban dido,Supervisor,Customer Support,1654654,2026-02-10
4825,pepito perez,General Services,Admin,1051654,2026-02-22
4717,cesar gaviria,Contractor,Admin,2500000,2026-02-19
2417,cesar gaviria,General Services,Cleaning,5200000,2026-01-15
4946,fido gutierrez,Community Manager,IT,2500000,2026-02-15
4206,pepito perez,Supervisor,Cleaning,5200000,2026-02-04
