Nombre,Correo,Telefono,Cedula,Id_cliente
david martinez manso,juanchoma@gmail.com,3132301670,1867853,84
diego orlando perez,juanchitodav@gmail.com,3007077627,1293389,22
juan david orozco,pepitopan@hotmail.com,3852357049,1882070,87
diego orlando perez,juanchitodav@gmail.com,3434924854,1724109,22
juan david orozco,diegorlyspe@gmail.com,3531877875,1527651,100
david martinez manso,diebitmar@gmail.com,3755757006,1490343,13
juan manuel perez,juanchitodav@gmail.com,3787040661,1523234,5
juan david orozco,diebitmar@gmail.com,3442809695,1985741,68
pepito perez mendez,diegorlyspe@gmail.com,3448965305,1690468,34
diego orlando perez,diegorlyspe@gmail.com,3542565895,1698070,28
david martinez manso,juanchitodav@gmail.com,3686261793,1848777,32
pepito perez mendez,juanchitodav@gmail.com,3919392782,1174153,71
juan david orozco,juanchoma@gmail.com,3968696664,1934354,53
diego orlando perez,juanchoma@gmail.com,3482609006,1584425,13
juan manuel perez,diebitmar@gmail.com,3112864923,1067655,4
